통,유형,사유
4,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
5,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
13,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
21,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
25,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
27,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
29,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
35,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
36,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
37,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
38,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
58,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
59,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
