통,반,법정동,지번
1,1,물왕동,5
1,1,물왕동,11
1,1,물왕동,17
1,1,물왕동,18
1,1,물왕동,21
1,1,물왕동,22
1,1,물왕동,23
1,1,물왕동,24
1,1,물왕동,25
1,1,물왕동,26
1,1,물왕동,산7
1,1,물왕동,산8
1,2,물왕동,77
1,2,물왕동,78
1,2,물왕동,79
1,2,물왕동,83
1,2,물왕동,85
1,2,물왕동,97
1,2,물왕동,98
1,3,물왕동,121
1,3,물왕동,122
1,3,물왕동,135
1,3,물왕동,166
1,3,물왕동,산36-2
2,1,물왕동,243
2,1,물왕동,244
2,1,물왕동,296
2,1,물왕동,298
2,1,물왕동,299
2,2,물왕동,315
2,2,물왕동,318
2,2,물왕동,319
2,2,물왕동,321
2,2,물왕동,359
2,2,물왕동,372
2,2,물왕동,402
2,3,물왕동,277
2,3,물왕동,278
2,3,물왕동,279
2,3,물왕동,281
2,3,물왕동,284
3,1,산현동,16
3,1,산현동,19
3,1,산현동,23
3,1,산현동,26
3,1,산현동,30
3,1,산현동,32
3,1,산현동,37
3,1,산현동,38
3,1,산현동,40
3,1,산현동,42
3,1,산현동,51
3,1,산현동,91
3,2,산현동,95
3,2,산현동,113
3,2,산현동,116
3,2,산현동,117
3,2,산현동,133
3,2,산현동,143
3,2,산현동,144
3,2,산현동,145
3,2,산현동,146
3,2,산현동,147
3,2,산현동,149
3,2,산현동,151
3,2,산현동,152
3,2,산현동,153
3,2,산현동,154
3,2,산현동,155
3,2,산현동,156
3,2,산현동,157
3,2,산현동,158
3,2,산현동,159
3,2,산현동,160
3,2,산현동,161
3,2,산현동,162
3,2,산현동,163
3,2,산현동,164
3,2,산현동,165
3,2,산현동,166
3,2,산현동,167
3,2,산현동,168
3,2,산현동,169
3,2,산현동,170
3,2,산현동,171
3,2,산현동,172
3,2,산현동,173
3,2,산현동,174
3,2,산현동,175
3,2,산현동,176
3,2,산현동,177
3,2,산현동,178
3,2,산현동,179
3,2,산현동,180
3,2,산현동,181
3,2,산현동,182
3,2,산현동,183
3,2,산현동,184
3,2,산현동,185
3,2,산현동,186
3,2,산현동,187
3,2,산현동,189
3,2,산현동,191
3,2,산현동,192
3,2,산현동,193
3,2,산현동,194
3,2,산현동,195
3,2,산현동,196
3,2,산현동,197
3,3,산현동,121
3,3,산현동,125
3,3,산현동,128
3,3,산현동,산1
3,3,산현동,산25
3,3,산현동,산49
3,3,산현동,산50
3,3,산현동,산52
3,3,산현동,산54
3,3,산현동,산55
3,4,산현동,201
3,4,산현동,202
3,4,산현동,204
3,4,산현동,205
3,4,산현동,206
3,4,산현동,207
3,4,산현동,208
3,4,산현동,209
3,4,산현동,210
3,4,산현동,211
3,4,산현동,212
3,4,산현동,216
3,4,산현동,217
3,4,산현동,218
3,4,산현동,219
3,4,산현동,221
3,4,산현동,222
3,4,산현동,223
3,4,산현동,224
3,4,산현동,225
3,4,산현동,226
3,4,산현동,228
3,4,산현동,229
3,4,산현동,230
3,4,산현동,231
3,4,산현동,232
3,4,산현동,233
3,4,산현동,234
3,4,산현동,235
3,4,산현동,236
3,4,산현동,237
3,4,산현동,238
3,4,산현동,240
3,4,산현동,241
3,4,산현동,242
3,4,산현동,243
3,4,산현동,244
3,4,산현동,245
3,4,산현동,246
3,4,산현동,248
3,4,산현동,249
3,4,산현동,250
3,4,산현동,251
3,4,산현동,253
3,4,산현동,254
3,4,산현동,261
3,4,산현동,262
3,4,산현동,263
3,4,산현동,266
3,4,산현동,268
3,4,산현동,277
3,4,산현동,278
3,4,산현동,282
3,4,산현동,283
3,4,산현동,284
3,4,산현동,285
3,4,산현동,286
3,4,산현동,288
3,4,산현동,289
3,4,산현동,292
3,4,산현동,293
3,4,산현동,294
3,5,산현동,300
3,5,산현동,302
3,5,산현동,305
3,5,산현동,310
3,5,산현동,311
3,5,산현동,314
3,5,산현동,319
3,5,산현동,326
3,5,산현동,327
3,5,산현동,328
3,5,산현동,329
3,5,산현동,331
3,5,산현동,333
3,5,산현동,334
3,5,산현동,336
3,5,산현동,338
3,5,산현동,341
3,5,산현동,342
3,5,산현동,343
3,5,산현동,345
3,5,산현동,346
3,5,산현동,348
3,5,산현동,350
3,5,산현동,351
3,5,산현동,352
3,5,산현동,356
3,5,산현동,362
3,5,산현동,365
3,5,산현동,370
3,5,산현동,371
3,5,산현동,374
3,5,산현동,375
3,5,산현동,376
3,5,산현동,377
3,6,산현동,412
3,6,산현동,420
3,6,산현동,421
3,6,산현동,444
3,6,산현동,451
3,6,산현동,453
3,6,산현동,459
