통,유형,사유
4,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
5,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
7,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
10,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
14,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
15,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
17,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
18,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
20,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
21,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
23,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
24,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
26,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
27,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
30,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
31,일반,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
