통,반,법정동,지번
1,1,방산동,57
1,1,방산동,61
1,1,방산동,62
1,1,방산동,산73
1,1,방산동,81
1,1,방산동,산95
1,1,방산동,123
1,1,방산동,141
1,1,방산동,142
1,1,방산동,143
1,1,방산동,162
1,1,방산동,163
1,1,방산동,179
1,1,방산동,182
1,1,방산동,190
1,1,방산동,203
1,1,방산동,206
1,1,방산동,210
1,1,방산동,218
1,2,방산동,223
1,2,방산동,258
1,2,방산동,260
1,2,방산동,269
1,2,방산동,275
1,3,방산동,283
1,3,방산동,286
1,3,방산동,291
1,3,방산동,293
1,3,방산동,305
1,4,방산동,316
2,1,방산동,458
2,1,방산동,471
2,1,방산동,475
2,1,방산동,478
2,1,방산동,503
2,1,방산동,508
2,1,방산동,509
2,1,방산동,518
2,1,방산동,522
2,1,방산동,524
2,1,방산동,530
2,2,방산동,592
2,2,방산동,660
2,2,방산동,684
2,2,방산동,691
2,2,방산동,694
2,2,방산동,695
2,2,방산동,718
2,3,방산동,724
2,3,방산동,751
2,3,방산동,757
2,3,방산동,787
3,1,포동,20-131
3,1,포동,222-1
3,2,포동,산54
3,2,포동,20-74
3,2,포동,59
3,2,포동,68-99
3,2,포동,88-3
3,3,포동,36-14
3,3,포동,47
4,2,포동,6-2
4,2,포동,6-12
4,2,포동,6-19
4,2,포동,6-20
14,1,미산동,산32-17
14,1,미산동,산32-18
14,1,미산동,산32-20
14,1,미산동,산49
14,1,미산동,180
14,1,미산동,233-4
14,2,미산동,245
14,2,미산동,246
14,2,미산동,249
14,2,미산동,251
14,2,미산동,254
14,2,미산동,270
14,2,미산동,272
14,3,미산동,531
14,3,미산동,533
14,3,미산동,545
14,3,미산동,550
14,3,미산동,558
15,1,미산동,산7-11
15,1,미산동,산7-12
15,1,미산동,산7-13
15,1,미산동,349
15,2,미산동,산8-8
15,2,미산동,산8-13
15,3,미산동,산3-2
15,3,미산동,336-1
15,3,미산동,340-1
15,3,미산동,344-2
15,3,미산동,350
15,3,미산동,350-2
15,3,미산동,350-5
15,3,미산동,352
15,3,미산동,355-5
15,3,미산동,358
15,5,미산동,8-5
15,5,미산동,35-1
15,5,미산동,81-1
20,1,미산동,316-30
20,4,미산동,산18
20,4,미산동,375
